NAME_1,especies
Alta Verapaz,23
Baja Verapaz,21
Chimaltenango,5
Chiquimula,0
El Progreso,2
Escuintla,14
Guatemala,6
Huehuetenango,0
Izabal,5
Jalapa,2
Jutiapa,0
Petén,9
Quezaltenango,30
Quiché,3
Retalhuleu,0
Sacatepéquez,11
San Marcos,4
Santa Rosa,2
Sololá,5
Suchitepéquez,9
Totonicapán,3
Zacapa,1
