scientificName,decimalLatitude,decimalLongitude,Record
Piesocorynus lateralis,14.3333,-91.0000,Specimen_Previous
Piesocorynus occipitalis,14.7167,-91.4833,Specimen_Previous
Piesocorynus occipitalis,14.7000,-91.7500,Specimen_Previous
Piesocorynus occipitalis,14.5667,-91.1833,Specimen_Previous
Piesocorynus plagifer,14.7167,-91.4833,Specimen_Previous
Piesocorynus plagifer,15.4833,-90.3167,Specimen_Previous
Piesocorynus plagifer,14.3452,-90.4026,Specimen_New
Piesocorynus plagifer,14.3452,-90.4026,Specimen_New
Piesocorynus plagifer,14.3452,-90.4026,Specimen_New
Piesocorynus sellatus,14.7000,-91.7500,Specimen_Previous
Piezobarra sparsillis,14.7167,-91.4833,Specimen_Previous
Piezobarra sparsillis,15.4000,-89.9167,Specimen_Previous
Anthiera oculata,15.1333,-90.1833,Specimen_Previous
Monocloeus anas,14.9000,-91.3667,Specimen_Previous
Monocloeus idaeus,14.7167,-91.4833,Specimen_Previous
Monocloeus idaeus,14.4833,-90.8000,Specimen_Previous
Strabus carbonarius,15.4167,-89.2167,Specimen_Previous
Strabus insignis,15.2667,-90.1333,Specimen_Previous
Strabus laticeps,15.2000,-90.0667,Specimen_Previous
Strabus linifer,14.7000,-91.7500,Specimen_Previous
Strabus niger,15.1409,-90.1960,Specimen_New
Strabus parvulus,14.4667,-90.9500,Specimen_Previous
Strabus pumilus,14.7000,-91.7500,Specimen_Previous
Strabus pusillus,14.8333,-91.8667,Specimen_Previous
Strabus pusillus,14.3833,-90.8667,Specimen_Previous
Strabus tholerus,15.3167,-89.9333,Specimen_Previous
Strabus tholerus,15.1333,-90.1833,Specimen_Previous
Strabus umbrinus,15.4000,-89.9167,Specimen_Previous
Strabus umbrinus,15.1415,-90.0294,Specimen_New
Trachytropis asper,15.1333,-90.1833,Specimen_Previous
Trachytropis asper,14.7555,-91.1908,Specimen_New
Toxonotus bipunctatus,14.2333,-90.7000,Specimen_Previous
Toxonotus championi,14.7000,-91.7500,Specimen_Previous
Toxonotus championi,14.4833,-90.8000,Specimen_Previous
Toxonotus championi,15.1333,-90.1833,Specimen_Previous
Toxonotus vagus,15.1333,-90.1833,Specimen_Previous
Ptychoderes bivittatus,15.4167,-89.2167,Specimen_Previous
Ptychoderes bivittatus,14.2234,-90.4752,Specimen_New
Ptychoderes bivittatus,17.2326,-89.9564,Specimen_New
Ptychoderes nebulosus,15.3167,-89.9333,Specimen_Previous
Ptychoderes nebulosus,15.4167,-89.2167,Specimen_Previous
Ptychoderes nebulosus,14.8333,-91.8667,Specimen_Previous
Ptychoderes nebulosus,14.7000,-91.7500,Specimen_Previous
Ptychoderes nebulosus,14.5500,-91.7833,Specimen_Previous
Ptychoderes nebulosus,14.7167,-91.4833,Specimen_Previous
Ptychoderes nebulosus,14.5667,-91.1833,Specimen_Previous
Ptychoderes nebulosus,14.3333,-91.0000,Specimen_Previous
Ptychoderes nebulosus,14.3833,-90.8667,Specimen_Previous
Ptychoderes nebulosus,14.0333,-90.8667,Specimen_Previous
Ptychoderes nebulosus,14.5000,-90.5000,Specimen_Previous
Ptychoderes nebulosus,17.2250,-89.6133,Specimen_Previous
Ptychoderes rugicollis,14.3833,-90.8667,Specimen_Previous
Ptychoderes rugicollis,14.5500,-91.7833,Specimen_Previous
Ptychoderes rugicollis,14.5229,-91.1362,Specimen_New
Ptychoderes rugicollis,14.5229,-91.1362,Specimen_New
Ptychoderes rugicollis,14.5229,-91.1362,Specimen_New
Ptychoderes rugicollis,17.1042,-89.6784,Specimen_New
Stenocerus angulatus,15.4000,-89.9167,Specimen_Previous
Stenocerus angulatus,14.5500,-91.7833,Specimen_Previous
Stenocerus angulatus,14.3333,-91.0000,Specimen_Previous
Stenocerus longulus,15.4000,-89.9167,Specimen_Previous
Stenocerus longulus,14.5500,-91.7833,Specimen_Previous
Trigonorhinus championi,14.7167,-91.4833,Specimen_Previous
Trigonorhinus limbatus,15.0167,-90.1833,Specimen_Previous
Cybosoma grande,15.1333,-90.1833,Specimen_Previous
Eugonops championi,14.5667,-91.1833,Specimen_Previous
Eusphyrus analis,14.4667,-90.9500,Specimen_Previous
Eusphyrus bicolor,14.7167,-91.4833,Specimen_Previous
Eusphyrus circulus,14.4667,-90.9500,Specimen_Previous
Eusphyrus circulus,15.0000,-91.1667,Specimen_Previous
Eusphyrus circulus,14.8299,-91.0187,Specimen_New
Eusphyrus dilutus,14.7167,-91.4833,Specimen_Previous
Eusphyrus fragilis,14.6000,-90.4667,Specimen_Previous
Eusphyrus insignis,14.7167,-91.4833,Specimen_Previous
Eusphyrus irpex,14.4833,-90.8000,Specimen_Previous
